"အိပ်နေရင်ညနိုးနေရင်နေ့",638.9 kB,638863
"လူနာဆောင်အမှတ်ခြောက်",503.0 kB,503047
"စိတ်တ္တရလေခါ",659.6 kB,659555
"ကျွန်းဦးတည့်သန်လျက်ခုံ",1.4 MB,1440731
"ဘာကြီးလဲ",1.9 MB,1944988
"ရနောင်မောင်မောင်တုတ်",870.0 kB,869995
"လူပျိုအပျိုဖတ်စာ",385.3 kB,385272
"ပိုချစ်ရတဲ့သူကိုယ်ဖြစ်ပါစေ",574.8 kB,574840
"အမှန်တရား၏ဒဏ်ခတ်မှု့၌ပျော်မွေ့တတ်သော",388.5 kB,388465
"လူပျိုမှိုတက်",1.8 MB,1826300
"LadyShoes",512.4 kB,512419
"ဘာလဲဟဲ့လူ့ငရဲ",2.0 MB,1994799
"ကမ္မဖလ",2.1 MB,2098951
"ဖောရက်စ်ဂမ့်",1.8 MB,1770810
"အညာပြန်",421.5 kB,421506
"ဝတ္ထုတိုများစုစည်းမှု့",727.4 kB,727374
"မမ",1.4 MB,1366137
"ဇင်ဘာဘွေ",1.7 MB,1735527
"ကော်ဖီနှင့်ကိတ်တို့၏နှစ်တစ်နှစ်",61.9 kB,61877
"ကြောက်စိတ်နှင့်သင့်ဘဝမျက်နှာဖုံးဆောင်းပါးများ",176.4 kB,176440
"မိမိအရေပြားမှလမ်းလျှောက်ထွက်ခြင်း",115.7 kB,115675
"လက်ဗွေနီနီ",1.4 kB,1407
"မိမော်မေမ-မောင့်ချစ်သဲဦး",19.5 MB,19500105
"သမထနှင့်ဝိပဿနာ",872.2 kB,872173
"မေတ္တသုတ်အနှစ်ချုပ်",1.0 MB,1045935
"မြတ်ဗုဒ္ဓဒေသနာနှင့်ယနေ့ကမ္ဘာ",1.5 MB,1484289
"ဘဝခရီးဝယ်ရွေးချယ်ရမဲ့လမ်း",2.1 MB,2117972
"စိတ်၏အညစ်အကြေးများကိုဖယ်ရှားခြင်း",1.0 MB,1024509
"မိတ္တဗလဋီကာ",439.3 kB,439253
"စစ်နှင့်ငြိမ်းချမ်းရေး(ဒုတိယတွဲ)",1.6 MB,1611533
"စစ်နှင့်ငြိမ်းချမ်းရေး(ပထမတွဲ)",1.6 MB,1628158
"ပလေတိုနိဒါန်း",586.8 kB,586769
"ရေနံ့သာခင်ခင်ကြီး",1.1 MB,1076137
"ပန်းခေတ်ကလမင်း",1.8 MB,1772940
"ကာလာမသုတ်အနှစ်ချုပ်",83.6 kB,83594
"Exiles",2.4 MB,2363660
"မူကွဲလမ်းဆုံ(AlternateCrossroad)",1.3 MB,1251227
"ဝိဉာဉ်တေးသွားSoulMelody",882.6 kB,882641
"Sátántangó",2.1 MB,2096692
"အိုက်ခ်မန်းစစ်ဆင်ရေး",1.5 MB,1515869
"သရဖူ",304.4 kB,304400
"ဆယ့်နှစ်ကြိုးဝတ္ထုတိုများ",379.9 kB,379912
"ဆားပုလင်းနှင်းမောင်နှင့်တပွဲစားဦးနှော",474.7 kB,474653
"အရိပ်မဲ့ရုပ်ပုံလွှာ",342.9 kB,342913
"အကျဉ်းစံမိန်းမများ",341.1 kB,341122
"တောကျီးကန်းဝတ္ထုတိုများ",342.9 kB,342913
"ခေတ်ပြိုင်တို့၏သတို့သမီး",1.2 MB,1161533
"တောသားကြီး",388.5 kB,388496
"ကျောင်းတွင်းဒီမိုကရေစီ",317.3 kB,317266
"လူနှင့်သူတို့၏ဟာသများ",315.9 kB,315941
"ဗုဒ္ဓ၏လူမှု့ရေးတရားတော်များ",551.0 kB,550967
"လွယ်အိတ်ထဲကအလွဲများ",1.1 MB,1053370
"တာတေစနေသား",690.3 kB,690340
"စူစီဝေါင်း",635.1 kB,635064
"နှစ်လောက",700.5 kB,700454
"သေသော်မှတည့်သြော်ကောင်း၏",470.8 kB,470823
"ဖန်ပုလင်းထဲကအသည်းကွဲပုစဉ်းပျံ",513.3 kB,513322
"မဒ္ဒီလိုလိုသမ္ဘူလိုလို",503.7 kB,503708
"စွန်းလွန်းဥပနိသျည်း",1.4 kB,1407
"ကိုယ်တိုင်သိရှိသွားမှု",473.9 kB,473861
"နွားတထောင်",355.4 kB,355434
"စောလမုန်သိုက်",329.7 kB,329678
"လွမ်းဆွတ်ဖွယ်ဆောင်း",437.2 kB,437246
"ပြုံး၍လည်းကန်တော့ခံတော်မူပါရယ်၍လည်းကန်တော့ခံတော်မူပါ",416.9 kB,416926
"ငြိမ်းကိုရှက်ပါ",375.6 kB,375638
"ပြန်ခေါ်သက်သေ",443.9 kB,443937
"မြင်းကပါအကျဥ်းသား",200.1 kB,200098
"ငယ်ဘဝ",512.6 kB,512554
"လမင်းကြီးသာစမ်းပါ",454.8 kB,454777
"ပဉ္စမမြောက်ဆောင်းရက်များ",357.5 kB,357456
"တိမ်နဲ့ဖုံးပါလို့လမသာ",499.5 kB,499527
"ပန်းကျောင်း",351.3 kB,351325
"သွေးစုပ်မြေ",473.9 kB,473861
"အဖြူ",543.0 kB,543031
"ဆားပုလင်းနှင်းမောင်နှင့်ပျားစွဲသောမုတ်ဆိတ်",480.8 kB,480832
"နေထွက်ဘုရင်မ",490.2 kB,490176
"မြောက်ဖျားကအလွမ်းရာသီ",627.0 kB,626961
"အက်ဂါကေစီနှင့်တမလွန်ဖြစ်ရပ်ဆန်းများ",652.6 kB,652626
"ဟော်မုန်းပင်နှင့်ထူးထူးခြားခြားဝတ္ထုတိုများ",410.2 kB,410188
"အိပ်ဇိုးဒပ်",694.7 kB,694735
"ဆားပုလင်းနှင်းမောင်နှင့်မြိုင်မဟာမမြလေး",480.1 kB,480146
"တပြည်သူမရွှေထား",471.3 kB,471317
"ထောင်အတွင်းမှပရလောကသားများ",682.4 kB,682387
"ဆားပုလင်းနှင်းမောင်နှင့်မိုးပေါ်မှာကြယ်တစ်လုံး",638.9 kB,638912
"သူ့ကျွန်မခံပြီ",437.7 kB,437707
"ညီမလေးရယ်စိုးရိမ်မိတယ်",527.0 kB,527029
"အနောက်တောင်အရပ်မှလာခဲ့သူ",639.2 kB,639183
"မေတ္တာမီးအိမ်",442.7 kB,442746
"မျိုးရိုးထဲကဆိုးပေကြီးများ",424.2 kB,424214
"သူငယ်ချင်းလို့ပဲဆက်၍ခေါ်မည်ခိုင်",635.6 kB,635611
"နှင်းငွေတတောင့်မိုးတမှောင့်",472.3 kB,472340
"မော့ဆက်",403.4 kB,403402
"မဟူရာအကျဉ်းထောင်",419.7 kB,419726
"ပြောက်ကျားစစ်ချေဂွေဗားရား",2.0 MB,1974264
"နှစ်ဆယ့်ရှစ်နှစ်ရှိပြီဖြစ်တဲ့မိန်းမတစ်ယောက်",443.2 kB,443228
"အင်ဖာတိုက်ပွဲ",471.4 kB,471424
"စိမ်းနေဦးမည့်ကျွန်တော့်မြေ",516.9 kB,516869
"ပျားရည်အိုင်",484.7 kB,484736
"AVA1740s",416.0 kB,415992
"သုခမြို့တော်",734.5 kB,734452
"တတိယမျက်လုံး",646.7 kB,646651
"ငဘ",119.0 kB,118986
"ဆန်းကြယ်မုဆိုးဝတ္တုတိုများ",306.0 kB,305984
"GenderLine2081",1.8 MB,1832360
"ဟယ်ရီပေါ်တာနှင့်မှော်ဝင်ရတနာ",1.3 MB,1322914
"အမှတ်တရ",1.4 MB,1398795
"ပျောက်သောလမ်းမှာစမ်းတဝါး",1.1 MB,1128228
"ငယ်သူမို့မသိပါ",442.1 kB,442128
"အသက်ဓါတ်",1.4 kB,1407
"ဟယ်ရီပေါ်တာနှင့်ပြဒါးရှင်လုံး",512.8 kB,512772
"ချစ်သူလား...စံကားတစ်ပွင့်ပွင့်ခဲ့တယ်",1.8 MB,1795558
"ကမ္ဘာပတ်လည်ရက်ရှစ်ဆယ်",673.7 kB,673658
